pinyin_id,title,pinyin
1,〇,ling
2,㐀,qiu
3,㐁,tian
4,㐂,xi
5,㐅,wu
6,㐆,yin
7,㐇,jiu
8,㐈,ru
9,㐉,ding
10,㐊,shi
11,㐋,tu
12,㐌,si
13,㐍,zhao
14,㐎,wen
15,㐏,wu
16,㐐,nu
17,㐒,zhao
18,㐓,ke
19,㐖,ye
20,㐗,lao
21,㐘,mi
22,㐙,dou
23,㐚,wu
24,㐜,chou
25,㐝,ju
26,㐞,qi
27,㐟,fei
28,㐡,nuo
29,㐢,fu
30,㐣,ku
31,㐤,qiu
32,㐥,chu
33,㐦,ju
34,㐨,xu
35,㐩,xing
36,㐫,xiong
37,㐬,liu
38,㐭,lin
39,㐰,xin
40,㐱,zhen
41,㐲,dai
42,㐳,wu
43,㐷,ma
44,㐸,qian
45,㐹,yi
46,㐺,zhong
47,㐻,nei
48,㐼,cheng
49,㐾,ruan
50,㑀,tai
51,㑂,fang
52,㑃,ao
53,㑄,wu
54,㑅,zuo
55,㑇,zhou
56,㑈,dong
57,㑉,su
58,㑊,yi
59,㑋,jiong
60,㑍,lei
61,㑎,nao
62,㑏,zhu
63,㑑,lan
64,㑔,xu
65,㑗,shen
66,㑘,jie
67,㑙,die
68,㑚,nuo
69,㑛,su
70,㑜,yi
71,㑝,long
72,㑞,ying
73,㑟,beng
74,㑣,lan
75,㑤,miao
76,㑥,yi
77,㑦,li
78,㑧,ji
79,㑨,yu
80,㑩,luo
81,㑪,chai
82,㑮,hun
83,㑯,xu
84,㑰,hui
85,㑱,rao
86,㑳,zhou
87,㑵,han
88,㑶,xi
89,㑷,tai
90,㑸,ai
91,㑹,hui
92,㑺,jun
93,㑻,ma
94,㑽,tang
95,㑾,xiao
96,㑿,zhao
97,㒀,zha
98,㒁,yu
99,㒂,ku
100,㒃,er
101,㒄,nang
102,㒅,qi
103,㒆,chi
104,㒇,mu
105,㒈,han
106,㒉,tang
107,㒊,se
108,㒌,qiong
109,㒍,lei
110,㒎,sa
111,㒐,xun
112,㒑,hui
113,㒒,pu
114,㒓,ta
115,㒔,shu
116,㒖,ou
117,㒗,tai
118,㒙,mian
119,㒚,wen
120,㒛,diao
121,㒜,yu
122,㒝,mie
123,㒞,jun
124,㒟,niao
125,㒠,xie
126,㒡,you
127,㒤,she
128,㒦,lei
129,㒧,li
130,㒩,luo
131,㒫,ji
132,㒰,quan
133,㒱,meng
134,㒲,cai
135,㒳,liang
136,㒴,gu
137,㒵,mao
138,㒷,gua
139,㒸,sui
140,㒹,dian
141,㒻,mao
142,㒼,man
143,㒾,shi
144,㒿,li
145,㓁,wang
146,㓂,kou
147,㓃,chui
148,㓄,zhen
149,㓈,bei
150,㓉,huan
151,㓊,dong
152,㓋,gong
153,㓎,qin
154,㓏,jiong
155,㓐,lu
156,㓑,xing
157,㓓,nan
158,㓔,xie
159,㓖,bi
160,㓗,jie
161,㓘,su
162,㓜,you
163,㓝,xing
164,㓞,qi
165,㓟,pi
166,㓠,dian
167,㓡,fu
168,㓢,luo
169,㓣,qia
170,㓤,jie
171,㓦,bai
172,㓧,yan
173,㓨,ci
174,㓪,lang
175,㓭,he
176,㓯,li
177,㓰,hua
178,㓱,tou
179,㓲,pian
180,㓴,jun
181,㓵,e
182,㓶,qie
183,㓷,yi
184,㓸,jue
185,㓹,rui
186,㓺,jian
187,㓼,chi
188,㓽,chong
189,㓾,chi
190,㔀,lue
191,㔂,lin
192,㔃,jue
193,㔄,su
194,㔅,xiao
195,㔆,zan
196,㔇,po
